imo,mmsi,name,flag,type
9287443,730026000,PENSILVANIA,CO,"General Cargo"
9734317,726848936,TARUA,,"Not available"
8564079,725818858,KALATIK,CL,Passenger
9213193,725027000,HUEMUL,CL,"Chemical Tanker"
9254812,725019920,ABTAO,CL,"Oil Products Tanker"
9232981,725019910,COPIHUE,CL,"Container Ship"
9046083,725019600,COPERNICO,CL,"General Cargo"
9346469,725019340,"PUNTA GRUESA",CL,"Oil Products Tanker"
7431222,725019316,725019316,CL,"Military ops"
9420760,725019310,PUDU,CL,"Oil/Chemical Tanker"
9281803,725019210,"DONA ANA",CL,"Oil/Chemical Tanker"
9580132,725019110,"SPL TARAPACA",CL,"Bulk Carrier"
9304203,725019109,LORETO,CL,"Bulk Carrier"
8642799,725019006,ESMERALDA,CL,"Sailing Vessel"
8909111,725018300,LINGUE,CL,"Bulk Carrier"
9163764,725018100,LAMA,CL,"Oil/Chemical Tanker"
9299367,725017900,"PUNTA ANGAMOS",CL,"Oil Products Tanker"
9191632,725017700,CONDOR,CL,Cargo
9197351,725017200,MAPOCHO,CL,"Container Ship"
8312758,725015100,TUPUNGATO,CL,"Bulk Carrier"
7312141,725014800,AMATISTA,CL,"General Cargo"
7927520,725012200,"DONA CARMELA",CL,"Oil Products Tanker"
8708957,725011900,UNIONSUR,CL,"Factory Trawler"
7211218,725011100,ANTONIO,CL,"Not available"
9242091,725010400,TUMBES,CL,Tug
9304643,725010010,"CABO TAMAR",CL,"Crude Oil Tanker"
8312772,725009700,TATIO,CL,"Bulk Carrier"
9191553,725009210,"BOW ANDES",CL,"Chemical Tanker"
9116149,725005570,"RAULI N",CL,"Bulk Carrier"
9113850,725005560,"ROBLE N",CL,"Bulk Carrier"
9169251,725004520,"PAM DON ALFONSO",CL,"Fishing Vessel"
9434022,725004430,SKYRING,CL,Tug
9384394,725004420,OTWAY,CL,Tug
8100129,725004360,SAMSON,CL,"General Cargo"
9184407,725003670,"SAN JOSE",CL,"Fishing Vessel"
9345661,725003570,"BANDURRIA II",CL,Tug
9317327,725002750,PELLAIFA,CL,Tug
9299989,725002740,PULLINQUE,CL,Tug
8609541,725002410,"PAM LEOPARDO",CL,Fishing
7404372,725002360,"CABO DE HORNOS",CL,Fishing
9262376,725002350,"GLOBALPESCA I",CL,"Other Type"
9253650,725002040,PEQUEN,CL,Tug
9276987,725001793,"TRICAHUE I",CL,
8009026,725001517,COYHAIQUE,CL,"Ro-Ro Cargo"
9760976,725001502,TALTAL,CL,"Other Type"
8324086,725001479,"BERKAY N",CL,"General Cargo"
9629718,725001411,ANTOFAGASTA,CL,"Oil/Chemical Tanker"
9629495,725001409,ARICA,CL,"Oil Products Tanker"
9654440,725001404,CHERCAN,CL,Tug
9525431,725001346,CUCAO,CL,Tug
9278911,725001321,ALMENDRO,CL,"Bulk Carrier"
9744219,725001305,ANGOL,CL,"Other Type"
9310575,725001302,CORRAL,CL,"Bulk Carrier"
9734317,725001297,TIRUA,CL,"Other Type"
9731494,725001276,CABURGUA,CL,"Other Type"
9260378,725001204,CORCOVADO,CL,"General Cargo"
9205615,725001193,"ULTRA TRONADOR",CL,"Bulk Carrier"
7411674,725001180,"IORANA CARGO",CL,"General Cargo"
9623154,725001172,BEAGLE,CL,Tug
9708344,725001155,LEBU,CL,Tug
9662629,725001154,MAKOHE,CL,Tug
9705615,725001135,ANTUCO,CL,"Other Type"
9706059,725001134,RITOQUE,CL,"Other Type"
9311359,725001131,"CABO FROWARD",CL,"Oil Products Tanker"
7424059,725001123,DANSTAR,CL,"General Cargo"
9316050,725001048,ELENA,CL,"Bulk Carrier"
